京都三大祭りとは、5月の葵祭、7月の祇園祭と10月の何祭でしょう？,時代祭(じだいまつり)
火を神聖視することから「拝火教」とも呼ばれる、古代ペルシアを起源とする宗教の名前はなんでしょう？,ゾロアスター教
「なぜ山に登るのか？」と聞かれて「そこに山があるから」と答えた逸話で知られるイギリスの登山家は誰でしょう？,ジョージ・マロリー
「芸術は爆発だ」の名言で知られる、『傷ましき腕』、『太陽の塔』などの代表作で知られる芸術家は誰でしょう？,岡本太郎
花札の10月の札で鹿がそっぽを向いていることが由来である、「無視すること」を表す言葉なんでしょう？,しかと
花札の10月の札で、鹿とともに描かれている植物はなんでしょう？,紅葉
ブダペストはハンガリーの首都ですが、ブカレストはどこの首都でしょう？,ルーマニア
ブカレストはルーマニアの首都ですが、ブダペストはどこの首都でしょう？,ハンガリー
追いつ追われつの試合のことを、ある遊具の名前を使って何というでしょう？,シーソーゲーム
タバコ、ジャガイモ、トマトはいずれも何科の植物でしょう？,ナス科
医療器具の「AED」とは、何という日本語の略称でしょう？,自動体外式除細動器
日本の本州を青森県から山口県まで陸路で縦断する時、どんなルートでも必ず通る都道府県はどこでしょう？,兵庫県
日本三名園とは、金沢市の兼六園、岡山市の後楽園と水戸市のどこでしょう？,偕楽園
日本三名園とは、金沢市の兼六園、水戸市の偕楽園と岡山市のどこでしょう？,後楽園
6、28、496のように、その数以外の約数の和がその数と等しくなる数のことを何というでしょう？,完全数
コンビニチェーン店の「セブンイレブン」のロゴの中で、唯一小文字であるアルファベットは何でしょう？,n
講道館柔道の創始者であり、日本のオリンピック初参加に尽力したことから、「日本の体育の父」とも呼ばれる柔道家は誰でしょう？,嘉納治五郎(かのうじごろう)
「えたいの知れない不吉な塊が私の心を始終おさえつけていた。」という書き出しで始まる、梶井基次郎の小説は何でしょう？,『檸檬』
「馴らすことのできない」という意味のオランダ語に由来するという説がある、男勝りの活発な女の子のことを指す言葉は何でしょう？,お転婆
「食べられる国宝」として知られている、ハンガリー固有の希少種の豚は何でしょう？,マンガリッツァ
漢数字の「百」から「一」を引くということから、99歳のお祝いのことを何というでしょう？,白寿
地球の地殻とマントルの間にある不連続面のことを、クロアチアの地震学者の名前から「何不連続面」というでしょう？,モホロビチッチ不連続面
地球のマントルと外核の間にある不連続面のことを、アメリカの地震学者の名前から「何不連続面」というでしょう？,グーテンベルク不連続面
地球の外核と内核の間にある不連続面のことを、デンマークの地震学者の名前から「何不連続面」というでしょう？,レーマン不連続面
地球の最高峰の山はエベレストですが、火星の最高峰の山はどこでしょう？,オリンポス山
地球の最高峰の山はエベレストですが、金星の最高峰の山はどこでしょう？,マクスウェル山
陸上の十種競技で、最初に行われるのは100メートル走ですが、最後に行われるのは何でしょう？,1500m走
陸上の十種競技で、1日目の最初に行われるのは100メートル走ですが、2日目の最初に行われるのは何でしょう？,110mハードル
陸上の十種競技で、1日目の最初に行われるのは100メートル走ですが、1日目の最後に行われるのは何でしょう？,400m走
ウニ類の咀嚼器官のことを古代ギリシャの哲学者の名前を用いて「何の提灯」と呼ぶでしょう？,アリストテレスの提灯
本来は「イノシシを追うための小屋」という意味である、単語の意味を推測するテーブルゲームの名前は何でしょう？,たほいや
1番から626番まである、作曲家モーツァルトの作品につけられた通し番号のことを何番号というでしょう？,ケッヘル番号
太平洋赤道域中部から東部にかけて、海面水温が平年より低くなる現象を、「女の子」という意味のスペイン語に由来する言葉で「何現象」というでしょう？,ラニーニャ現象
県の木をイチョウとしている都道府県は、東京都、大阪府とどこでしょう？,神奈川県
「マラソン」の名前の由来となった、紀元前490年に戦いが起きたギリシャの村の名前は何でしょう？,マラトン
「勤勉・倹約」の精神を課したギリシャの都市国家の名前に由来する、非常に厳しい教育のことを指す言葉は何でしょう？,スパルタ
ギリシャ神話において、ふたご座として星になったのは兄のカストルと弟の誰でしょう？,ポルックス
古ノルド語で「記憶」という意味がある、北欧神話において、フギンと共にオーディンに付き添うワタリガラスの名前は何でしょう？,ムニン
国立天文台が定める「三大流星群」とは、1月のしぶんぎ座流星群、7月のペルセウス座流星群と12月の何流星群でしょう？,ふたご座流星群
中国神話における四神のうち、東を守っているのは青龍ですが、西を守っているのは何でしょう？,白虎
中国神話における四神のうち、北を守っているのは玄武ですが、南を守っているのは何でしょう？,朱雀
東映の映画のオープニング「荒磯の波」として使用されたことで知られる、千葉県銚子市にある岬の名前は何でしょう？,犬吠埼(いぬぼうざき)
フィギュアスケートのルッツジャンプに名前を残す「アロイス・ルッツ」の出身国はどこでしょう？,オーストリア
アメリカの州の中で、州旗にイギリス国旗が描かれているのは何州でしょう？,ハワイ州
アメリカの州の中で、日本より面積が大きいのは、アラスカ州、テキサス州、カリフォルニア州とどこでしょう？,モンタナ州
旧称は「ベドロー島」である、「自由の女神」があることで有名なアメリカの島はどこでしょう？,リバティ島
元々は氷を運ぶためのカバンだったことから、「運ぶ」を意味するアメリカの俗語が名前の由来となったのは何バッグでしょう？,トートバッグ
新井白石らを含む「木門十哲」と呼ばれる人材を輩出したことで知られる、江戸時代の儒学者は誰でしょう？,木下順庵(きのしたじゅんあん)
サッカー日本代表が、1998年のフランスW杯への出場を決めた試合のことを、試合の会場となったマレーシアの都市から「何の歓喜」というでしょう？,ジョホールバルの歓喜
